,case,zones_controlled,name,retrofit_name,installation_cost,mean_emissions,std_emissions,mean_cost,std_cost,mean_comfort,std_comfort,bill_saving,payback,relative_emissions,relative_emissions_std,relative_cost,relative_cost_std
0,0,0,Baseline Manual Control,Baseline,0,3.8135155403925896,0.6035335739832514,1458.0180178515484,421.7856820602154,16.9979084749704,15.18050813287823,-0.0,,-0.0,15.826173188247175,0.0,28.92870162755153
1,0,1,Baseline One Zone Controlled,Baseline,60,3.597601798786356,0.5341942470905701,1379.7665800062023,392.93811716005666,20.98225705014375,15.473727670802369,78.25143784534612,0.7667590737256773,-5.661803113669905,14.007921075249543,-5.366973308097587,26.950155097470446
2,0,4,Baseline Partial Control,Baseline,240,3.150504835645328,0.39120705663066,1217.090441963353,334.0829803527389,33.99331243801675,11.944871449090705,240.9275758881954,0.9961499804047924,-17.385813633763426,10.258436146044563,-16.524320888929235,22.91350149739743
3,0,9,Baseline Full Control,Baseline,520,2.557934450826169,0.3835592981223268,1005.7445874332012,290.289551477302,42.41065766108574,6.209881086468953,452.2734304183472,1.1497469562140907,-32.924504339037306,10.057892620593348,-31.019742203514834,19.909874084070374
4,1,0,Fabric - Low cost Manual Control,Fabric - Low cost,3800,3.6487607565764346,0.5760290139710429,1394.7180901163742,402.4063394076712,17.010745340306418,15.211650122647999,63.29992773517415,60.03166411023305,-4.320286152529851,15.104934223284758,-4.341505177586851,27.599545031729722
5,1,1,Fabric - Low cost One Zone Controlled,Fabric - Low cost,3860,3.4475722161031985,0.5117093903028704,1320.7733555159857,375.86764048700803,21.322569180196176,15.46707207834255,137.24466233556268,28.124955348444185,-9.59595733682832,13.418311394902341,-9.41309782562211,25.779354979499157
6,1,4,Fabric - Low cost Partial Control,Fabric - Low cost,4040,3.01630477034775,0.3727486322959468,1165.0996846888854,319.69044510927785,34.712795165313715,11.833457499276085,292.918333162663,13.792240165986856,-20.904877968919177,9.774409684392515,-20.090172383074567,21.92637136133306
7,1,9,Fabric - Low cost Full Control,Fabric - Low cost,4320,2.4413310595321507,0.3631539178012881,958.7797616021676,275.940403403583,43.583919964485034,6.344771817593361,499.2382562493808,8.653183016171065,-35.98213948065299,9.522812060283425,-34.240883866787165,18.925719711625575
8,2,0,Fabric - Shallow Manual Control,Fabric - Shallow,16000,3.0305482551967495,0.48811755109455984,1157.5347165965834,342.1621517154369,15.507461281363272,14.640301032217602,300.483301254965,53.247551305434236,-20.53137785601461,12.799673842270737,-20.609025236721006,23.467621629232497
9,2,1,Fabric - Shallow One Zone Controlled,Fabric - Shallow,16060,2.827094696420594,0.435451747536413,1078.7477249912135,311.7338320841213,21.252706773996138,15.340440491832133,379.27029286033485,42.34447121835099,-25.866443535469287,11.418643582912596,-26.01273017319812,21.38065704726162
10,2,4,Fabric - Shallow Partial Control,Fabric - Shallow,16240,2.4177363476281415,0.2891406337575982,936.493970387419,255.33674308853668,35.284828543289464,10.696554934136064,521.5240474641294,31.139503689169757,-36.60085236261439,7.581996997128589,-35.76938289367762,17.512591748679913
11,2,9,Fabric - Shallow Full Control,Fabric - Shallow,16520,1.8801927215779701,0.22376463757291937,736.6222711644064,201.73282731525703,45.03356283295282,5.505375530667837,721.395746687142,22.900051845141338,-50.696602605573496,5.8676734158498665,-49.47783483157151,13.836099749474903
12,3,0,Fabric - Deep Manual Control,Fabric - Deep,51000,0.8925833930879112,0.010567874519976725,507.45337220964893,178.21485959922614,0.14935312024353115,0.0766839545807329,950.5646456418995,53.652321526812734,-76.59421120397421,0.2771163355188214,-65.19567207012962,12.223090347116102
